Data_entry_person,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Food.supply,Food.relative,Food.relative score,Mean_Ambient,SE_Ambient,SD_Ambient,95CI_Ambient,N_Ambient,Mean_Elevated,SE_Elevated,SD_Elevated,95CI_Elevated,N_Elevated,Notes,,,,,
Norah,1,1,1,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,shell length (um),Low,half food,1,274.9513,2.0468,1.1817,,3,274.9513,2.729,1.5756,,3,,,,,,
Norah,2,2,1,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,shell length (um),High,full food,3,292.6901,5.4581,3.1512,,3,274.9513,4.7758,2.7573,,3,,,,,,
Joey,3,3,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),Low,starvation,0,240.41,11.58,81.91,,50,237.297,11.58,81.907714,,50,"JB estimate the SEM from the width of the dots on the graph, since they were not visible, 'error bars fall within the graphical representation of the data point'",,,,,
Joey,4,4,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),High,ad libitum,4,336.98166,11.58,81.91,,50,339.27267,11.58,81.907714,,50,"JB estimate the SEM from the width of the dots on the graph, since they were not visible, 'error bars fall within the graphical representation of the data point'",,,,,
Joey,5,5,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,total dry weight (ug/larva),High,natural,3,4.210178034,0.08467,0.19,,5,3.8993252,0.0605,0.135282113,,5,,,,,,
Joey,7,7,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,total dry weight (ug/larva),Low,one tenth,1,3.12294935,0.084724,0.19,,5,2.921063328,0.290366602,0.649279461,,5,,,,,,
Joey,8,8,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,organic mass (mg),Low,one tenth,1,0.062676,3.78E-05,0.0001,,7,0.105749293,3.78E-05,0.0001,,7,,,,,,
Joey,10,10,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,organic mass (mg),High,full food,3,0.708953817,0.102737925,0.271819,,7,0.557775,0.110076361,0.291234677,,7,,,,,,
Joey,11,8,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,organic mass (mg),Low,one tenth,1,0.062676,3.78E-05,0.0001,,7,0.090386428,3.78E-05,0.0001,,7,,,,,,
Joey,13,10,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,organic mass (mg),High,full food,3,0.708953817,0.102737925,0.271819,,7,0.639679548,0.132091637,0.349481621,,7,,,,,,
Joey,14,8,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,organic mass (mg),Low,one tenth,1,0.062676,3.78E-05,0.0001,,7,0.09462771,3.78E-05,0.0001,,7,,,,,,
Joey,16,10,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,organic mass (mg),High,full food,3,0.708953817,0.102737925,0.271819,,7,0.585579642,0.099068728,0.262111216,,7,,,,,,
Norah,17,11,5,Crook,2013,coral,coral,410,770,360,0.24,volume (mm3),Low,low maintenance,1,8.62069,1.293103,7.540021388,,34,7.758621,0.862069,5.314150215,,38,Crook data with N= individuals not jars,,,,,
Norah,18,12,5,Crook,2013,coral,coral,410,770,360,0.24,volume (mm3),High,plentiful,3,81.03448,9.051724,43.4105433,,23,78.87931,7.758621,37.20903917,,23,Crook data with N= individuals not jars,,,,,
Norah,19,11,5,Crook,2013,coral,coral,410,1220,810,0.43,volume (mm3),Low,low maintenance,1,8.62069,1.293103,7.540021388,,34,8.189655,1.293103,6.963572768,,29,Crook data with N= individuals not jars,,,,,
Norah,20,12,5,Crook,2013,coral,coral,410,1220,810,0.43,volume (mm3),High,plentiful,3,81.03448,9.051724,43.4105433,,23,84.91379,5.603448,26.28250081,,22,Crook data with N= individuals not jars,,,,,
Norah,21,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),Low,starvation,0,3.913043,0.56917,1.799873576,,10,5.146245,0.142292,0.449966813,,10,Edmunds data with N= individuals not tanks,,,,,Used high temp as control as in paper
Norah,22,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),High,ad libitum,4,6.047431,0.687747,2.174846974,,10,5.667984,1.328063,4.199703956,,10,Edmunds data with N= individuals not tanks,,,,,
Norah,23,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),Low,starvation,0,3.992958,0.492958,1.207495565,,6,4.190141,0.788732,1.931990944,,6,"They did have starvation, low, and high but Ramajo only used starvation and high food .... used high light ",,,,,
Norah,25,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),High,ad libitum,4,8.774648,0.985915,2.41498868,,6,9.56338,2.267606,5.554477638,,6,"They did have starvation, low, and high but Ramajo only used starvation and high food .... used high light ",,,,,
Kat,28,18,8,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,dry weight - Kiel (mg),Low,one fifth,1,0.062614652,0.004302887,0.012170402,0.008433658,8,0.066261737,0.005840558,0.016519593,0.011447494,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,29,19,8,Pansch,2014,Barnacle,crustacean,499,981.5,482.5,0.37,dry weight - Kiel (mg),High,full,3,0.233831708,0.036882814,0.104320351,0.072290315,8,0.253144931,0.010757217,0.030426005,0.021084146,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,26,18,8,Pansch,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,dry weight - Kiel (mg),Low,one fifth,1,0.062614652,0.004302887,0.012170402,0.008433658,8,0.063886596,0.00676168,0.019124918,0.013252892,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,27,19,8,Pansch,2014,Barnacle,crustacean,499,2750,2251,0.91,dry weight - Kiel (mg),High,full,3,0.233831708,0.036882814,0.104320351,0.072290315,8,0.239926514,0.016596849,0.046942979,0.032529825,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,32,20,8,Pansch,2014,Barnacle,crustacean,526.4,1141.7,615.3,0.33,dry weight - Tjarno (mg),Low,one fifth,1,0.016342,0.003182143,0.007794626,0.006237,6,0.019937,0.004153061,0.010172881,0.00814,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,33,21,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,dry weight - Tjarno (mg),High,full,3,0.048478,0.006633673,0.016249115,0.013002,6,0.051015,0.003883163,0.009511769,0.007611,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,30,20,8,Pansch,2014,Barnacle,crustacean,526.4,3255.9,2729.5,0.8,dry weight - Tjarno (mg),Low,one fifth,1,0.016342,0.003182143,0.007794626,0.006237,6,0.013277,0.00377551,0.009248074,0.0074,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,31,21,8,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,dry weight - Tjarno (mg),High,full,3,0.048478,0.006633673,0.016249115,0.013002,6,0.044249,0.003613265,0.008850656,0.007082,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,34,22,9,Ramajo,2016,Scallop,bivalve,405,1304,899,0.45,growth (mm d-1),Low,one/50,1,0.009295,0.002306,0.003994109,,3,0.016656,0.00408,0.007066767,,3,,,,,,
Kat,36,24,9,Ramajo,2016,Scallop,bivalve,552,1519,967,0.45,growth (mm d-1),High,full,3,0.016055,0.003282,0.005684591,,3,0.03335,0.003459,0.005991164,,3,,,,,,
Kat,37,25,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),Low,starvation,0,1.380822,0.086301,0.272907724,,10,1.006849,0.09589,0.303230805,,10,,,,,,
Kat,38,26,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),High,ad libitum,4,1.300913,0.099087,0.313340607,,10,1.32968,0.089498,0.283017526,,10,,,,,,
Norah,39,27,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,tissue lipid weight per spat (ug/mm2),Low,starvation,0,10.34483,0.344828,0.597259616,,3,11.81034,2.5,4.330127019,,3,,,,,,
Norah,40,28,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,tissue lipid weight per spat (ug/mm2),High,fed,3,13.27586,1.034483,1.791777116,,3,12.67241,2.068966,3.583554231,,3,,,,,,
Norah,41,29,12,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,somatic mass growth (mg dry mass),Low,low no filter,1,5,3.05,6.1,,4,7,4.7,9.4,,4,,,,,,
Norah,42,30,12,Melzner,2011,Mussel,bivalve,523.1,1174.4,651.3,0.32,somatic mass growth (mg dry mass),High,natural,2,34.7,13.6,27.2,,4,40.7,15.25,30.5,,4,,,,,,
Norah,43,29,12,Melzner,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,somatic mass growth (mg dry mass),Low,low no filter,1,5,3.05,6.1,,4,17.4,8.05,16.1,,4,,,,,,
Norah,44,30,12,Melzner,2011,Mussel,bivalve,523.1,2585.7,2062.6,0.62,somatic mass growth (mg dry mass),High,natural,2,34.7,13.6,27.2,,4,29.8,7.4,14.8,,4,,,,,,
Norah,45,29,12,Melzner,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,somatic mass growth (mg dry mass),Low,low no filter,1,5,3.05,6.1,,4,8.5,8.6,17.2,,4,,,,,,
Norah,46,30,12,Melzner,2011,Mussel,bivalve,523.1,3908.2,3385.1,0.86,somatic mass growth (mg dry mass),High,natural,2,34.7,13.6,27.2,,4,36.5,6.05,12.1,,4,,,,,,
Kat,47,31,13,Taylor,2014,urchin,echinoderm,585.1,1144.9,559.8,0.3,% Change width 140 days,High,Fed,3,4.230769,1.282051,4.965362172,,15,6.153846,2.350427,9.103164627,,15,,,,,,
Kat,48,31,13,Taylor,2014,urchin,echinoderm,585.1,3191.8,2606.7,0.7,% Change width 140 days,High,Fed,3,4.230769,1.282051,4.965362172,,15,0.598291,1.068376,4.137802455,,15,,,,,,
Kat,49,32,13,Taylor,2014,urchin,echinoderm,585.1,1144.9,559.8,0.3,% Change width 140 days,Low,Fasted,0,-7.73504,5.128205,19.86145256,,15,-0.89744,0.42735,1.655119433,,15,,,,,,
Kat,50,32,13,Taylor,2014,urchin,echinoderm,585.1,3191.8,2606.7,0.7,% Change width 140 days,Low,Fasted,0,-7.73504,5.128205,19.86145256,,15,-2.82051,0.854701,3.310242739,,15,,,,,,
Norah,51,29,12,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,length growth,Low,low no filter,1,1.2,0.15,0.3,,4,1.5,0.2,0.4,,4,,,,,,
Norah,52,30,12,Melzner,2011,Mussel,bivalve,523.1,1174.4,651.3,0.32,length growth,High,natural,2,2.6,0.6,1.2,,4,3,0.4,0.8,,4,,,,,,
Norah,53,29,12,Melzner,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,length growth,Low,low no filter,1,1.2,0.15,0.3,,4,1.1,0.15,0.3,,4,,,,,,
Norah,54,30,12,Melzner,2011,Mussel,bivalve,523.1,2585.7,2062.6,0.62,length growth,High,natural,2,2.6,0.6,1.2,,4,2.5,0.2,0.4,,4,,,,,,
Norah,55,29,12,Melzner,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,length growth,Low,low no filter,1,1.2,0.15,0.3,,4,0.6,0.1,0.2,,4,,,,,,
Norah,56,30,12,Melzner,2011,Mussel,bivalve,523.1,3908.2,3385.1,0.86,length growth,High,natural,2,2.6,0.6,1.2,,4,1.8,0.25,0.5,,4,,,,,,
Kat,57,31,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,shell growth (mm),High,natural,3,0.034772,0.000912,0.002039294,,5,0.031684,0.002035,0.004550398,,5,n was very poorly described,,,,,
Kat,58,32,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,shell growth (mm),Low,one tenth,1,0.030982,0.004912,0.010983566,,5,0.026702,0.002105,0.004706923,,5,n was very poorly described,,,,,
Kat,59,33,8,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,size- Kiel (mm),Low,one fifth,1,8.372093,0.213573802,0.604077933,0.418604651,8,8.491694,0.274594898,0.776671658,0.538206,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,60,34,8,Pansch,2014,Barnacle,crustacean,499,981.5,482.5,0.37,size- Kiel (mm),High,full,3,12.85714286,0.457658146,1.294452715,0.897009967,8,12.79734,0.305105612,0.86296899,0.598007,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,61,33,8,Pansch,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,size- Kiel (mm),Low,one fifth,1,8.372093,0.213573802,0.604077933,0.418604651,8,8.431894,0.183063259,0.517781086,0.358803987,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,62,34,8,Pansch,2014,Barnacle,crustacean,499,2750,2251,0.91,size- Kiel (mm),High,full,3,12.85714286,0.457658146,1.294452715,0.897009967,8,12.91694352,0.366126517,1.035562171,0.717607973,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,63,35,8,Pansch,2014,Barnacle,crustacean,526.4,1141.7,615.3,0.33,size- Tjarno(mm),Low,one fifth,1,2.976744186,0.230524104,0.564666427,0.451827243,6,2.897009967,0.284765069,0.697529115,0.558139535,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,64,36,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,size- Tjarno(mm),High,full,3,3.641196013,0.149162655,0.365372394,0.292358804,6,3.800664452,0.176283138,0.431803738,0.34551495,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,65,35,8,Pansch,2014,Barnacle,crustacean,526.4,3255.9,2729.5,0.8,size- Tjarno(mm),Low,one fifth,1,2.976744186,0.230524104,0.564666427,0.451827243,6,2.976744186,0.433927724,1.062901509,0.850498339,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Kat,66,36,8,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,size- Tjarno(mm),High,full,3,3.641196013,0.149162655,0.365372394,0.292358804,6,3.61461794,0.230524104,0.564666427,0.451827243,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size??
Joey,8,8,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),Low,one tenth,1,1422.22,134.3852684,355.55,,7,1806,142.4926063,377,,7,,,,,,
Joey,10,10,4,Thomsen,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),High,full food,3,3875,250.9684101,664,,7,3342,215.137378,569.2,,7,,,,,,
Joey,11,8,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),Low,one tenth,1,1422.22,134.3852684,355.55,,7,1464.8,99.55584219,263.4,,7,,,,,,
Joey,13,10,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),High,full food,3,3875,250.9684101,664,,7,3471.4,238.457786,630.9,,7,,,,,,
Joey,14,8,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),Low,one tenth,1,1422.22,134.3852684,355.55,,7,1300.6,28.23394613,74.7,,7,,,,,,
Joey,16,10,4,Thomsen,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),High,full food,3,3875,250.9684101,664,,7,3379.5,256.0709305,677.5,,7,,,,,,
Norah,73,39,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,septa diameter (um),Low,starvation,0,1385.96,26.32,45.58757726,,3,1322,42.39,73.42163373,,3,,,,,,
Norah,74,40,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,septa diameter (um),High,fed,3,2132,60.03,103.97501,,3,2062,44.19,76.53932519,,3,,,,,,